Projected_Year,Simulation,Claim_1,Claim_2,Claim_3,Claim_4,Claim_5,Claim_6,Claim_7,Claim_8,Claim_9,Claim_10,Claim_11,Claim_12,Claim_13,Claim_14,Claim_15,Claim_16,Claim_17,Claim_18,Claim_19,Claim_20,Claim_21,Claim_22,Claim_23,Claim_24,Claim_25,Claim_26,Claim_27,Claim_28,Claim_29,Claim_30,Claim_31,Claim_32,Claim_33,Claim_34,Claim_35,Claim_36,Claim_37,Claim_38,Claim_39,Claim_40,Claim_41,Claim_42,Claim_43,Claim_44,Claim_45,Claim_46,Claim_47,Claim_48,Claim_49,Claim_50,Claim_51,Claim_52,Claim_53,Claim_54,Claim_55,Claim_56,Claim_57,Claim_58,Claim_59,Claim_60,Claim_61,Claim_62,Claim_63,Claim_64,Claim_65,Claim_66,Claim_67,Claim_68,Claim_69,Claim_70,Claim_71,Claim_72,Claim_73,Claim_74,Claim_75,Claim_76,Claim_77,Claim_78,Claim_79,Claim_80,Claim_81,Claim_82,Claim_83
2026,0,6760,1377,9869,50000,1083,1083,50000,13324,600,7583,609,606,3570,16,26,476,154,4279,200,57,50000,1106,2306,55,498,2571,109,4992,432.0,937.0,431.0,50000.0,1882.0,137.0,15297.0,91.0,3286.0,14.0,70.0,3189.0,12391.0,2991.0,1457.0,915.0,48.0,321.0,614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,1,27537,4606,23,4386,742,357,9018,25792,20089,238,897,4466,22446,586,1223,122,97,14918,50000,1625,24076,4819,387,4816,50000,1780,50000,3,15272.0,2421.0,920.0,2450.0,13.0,1123.0,4764.0,50000.0,531.0,257.0,554.0,19305.0,4438.0,516.0,7047.0,2483.0,22061.0,335.0,856.0,729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2,50,4089,3745,1972,1081,56,678,825,261,1300,5359,50000,3015,3712,1615,16,1822,2264,50000,1202,4145,1785,104,34135,12816,14135,199,50000,58.0,8474.0,50000.0,163.0,471.0,2499.0,551.0,40.0,2312.0,136.0,6380.0,194.0,50000.0,273.0,869.0,14955.0,89.0,3443.0,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,3,35,3092,3734,13813,88,71,7201,4098,3647,4639,354,3484,4058,325,50000,6383,98,10091,169,13996,35511,249,21771,5478,15278,50000,1053,294,209.0,252.0,1605.0,4578.0,3895.0,15476.0,2011.0,50000.0,1003.0,50000.0,9339.0,227.0,133.0,6523.0,1112.0,11654.0,6374.0,1622.0,233.0,44.0,636.0,16651.0,3329.0,86.0,3005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,4,5113,212,2862,2253,111,4773,7938,29386,27309,62,186,7078,7056,7078,50000,8141,33520,21266,9961,883,13044,281,1075,577,2390,50000,18,10871,34.0,597.0,29824.0,2287.0,131.0,324.0,10691.0,312.0,3349.0,2182.0,380.0,50000.0,9534.0,12.0,3106.0,371.0,16487.0,267.0,1460.0,6902.0,17046.0,96.0,842.0,592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,5,379,50000,5372,83,19424,50000,25887,43,578,46586,330,5921,13566,191,1677,1,149,1034,85,50000,54,646,2702,50000,53,35920,1997,166,6199.0,3206.0,433.0,2319.0,741.0,2588.0,10233.0,50000.0,88.0,50000.0,15.0,1331.0,8505.0,3937.0,409.0,1156.0,566.0,444.0,16370.0,4763.0,343.0,18555.0,4205.0,14930.0,9433.0,244.0,478.0,12668.0,8988.0,1847.0,2162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,6,47859,442,7670,1173,1128,30567,15407,14954,50000,2052,10754,895,4387,1405,2483,8652,250,50000,156,93,35468,14158,9303,9402,1888,205,2354,357,22422.0,1347.0,246.0,870.0,5480.0,474.0,248.0,3586.0,3597.0,546.0,598.0,3483.0,52.0,57.0,322.0,1140.0,4244.0,50000.0,16704.0,1304.0,1856.0,158.0,1859.0,944.0,4371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,7,245,7155,50000,1482,5328,10977,712,3414,2009,2487,281,2070,6782,50000,21548,50000,285,17329,3082,50000,257,237,433,9,521,290,2838,4585,50000.0,21076.0,459.0,205.0,6679.0,71.0,50000.0,37416.0,601.0,27.0,50000.0,1461.0,43310.0,36.0,433.0,1973.0,2190.0,630.0,9274.0,134.0,1363.0,2632.0,7067.0,11584.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,8,42,47860,4477,298,50000,2602,37402,2306,50000,50000,1043,22223,9812,50000,173,10865,27627,24,100,12,991,11757,50000,2344,50000,61,27,1694,5097.0,1794.0,11.0,1557.0,74.0,10428.0,4879.0,185.0,537.0,137.0,1664.0,21327.0,165.0,6886.0,515.0,267.0,1489.0,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,9,486,97,50000,2127,337,3328,1469,1119,9074,12996,515,460,977,6,44,50000,50000,1043,8258,4247,50000,32203,1413,178,35,3242,292,55,385.0,129.0,50000.0,17739.0,1908.0,50000.0,2363.0,225.0,50000.0,7514.0,145.0,1208.0,217.0,61.0,19833.0,50000.0,58.0,7981.0,381.0,574.0,441.0,223.0,2199.0,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
